title,rating,avgRating,num of ratings,score,year,directedBy,starring
One Flew Over the Cuckoo's Nest (1975),4.2186616007543405,4.21776,36058,4.210004866072141,1975,Milos Forman,"Jack Nicholson, Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown, Scatman Crothers, Danny DeVito, Louise Fletcher, Christopher Lloyd, Ted Markland, Will Sampson, Vincent Schiavelli, Brad Dourif"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.215804447106386,4.20396,26714,4.193744280278057,1964,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Slim Pickens, Keenan Wynn"
Casablanca (1942),4.206563778356267,4.2019,26890,4.1917813651986195,1942,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Sydney Greenstreet, Peter Lorre, Dooley Wilson, Conrad Veidt"
Pulp Fiction (1994),4.188912039361382,4.1876,79672,4.184224141490187,1994,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Tim Roth, Amanda Plummer, Eric Stoltz, Bruce Willis, Ving Rhames, Phil LaMarr, Maria de Medeiros, Rosanna Arquette, Peter Greene, Uma Thurman, Duane Whitaker, Frank Whaley, Steve Buscemi, Christopher Walken, Julia Sweeney, Alexis Arquette, Kathy Griffin, Quentin Tarantino, Harvey Keitel"
Goodfellas (1990),4.1805253650920005,4.18818,32663,4.179999115257827,1990,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Debi Mazar, Kevin Corrigan, Michael Imperioli, Johnny Williams, Tony Sirico, Joe D'Onofrio, Illeana Douglas, Samuel L. Jackson, Tony Lip, Vincent Pastore, Vincent Gallo, Peter Onorati, Tobin Bell, Billy L. Sullivan"
"Dark Knight, The (2008)",4.166538211421277,4.18379,41519,4.1773802114178125,2008,Christopher Nolan,"Christian Bale, Aaron Eckhart, Heath Ledger, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Cillian Murphy, Nestor Carbonell, Eric Roberts, Anthony Michael Hall, Keith Szarabajka, Michael Jai White, William Fichtner, Tommy 'Tiny' Lister"
North by Northwest (1959),4.196617210682493,4.19263,16850,4.176849101910514,1959,Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll"
"Lives of Others, The (Das leben der Anderen) (2006)",4.200392285060477,4.20356,9177,4.174682255800554,2006,Florian Henckel von Donnersmarck,"Martina Gedeck, Ulrich Mühe, Sebastian Koch, Ulrich Tukur"
City of God (Cidade de Deus) (2002),4.18158741329044,4.18317,19894,4.169947379130544,2002,"Fernando Meirelles, Kátia Lund","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Alice Braga"
Inception (2010),4.155508420105412,4.17404,38895,4.167305024177239,2010,Christopher Nolan,"Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard, Ellen Page, Tom Hardy, Cillian Murphy, Tom Berenger, Michael Caine,Dileep Rao, Pete Postlethwaite, Lukas Haas, Yuji Okumoto"
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.20650108577633,4.19322,7368,4.158179433999372,1950,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim"
"Matrix, The (1999)",4.154099127610975,4.15952,72674,4.155979967646989,1999,"Andy Wachowski, Larry Wachowski","Laurence Fishburne, Keanu Reeves, Hugo Weaving, Carrie-Anne Moss, Gloria Foster, Joe Pantoliano, Paul Goddard"
"Third Man, The (1949)",4.201487350569919,4.19127,7194,4.155534145029326,1949,Carol Reed,"Joseph Cotten, Trevor Howard, Orson Welles, Alida Valli"
Life Is Beautiful (La Vita è bella) (1997),4.154341841841842,4.16483,23976,4.154131671807425,1997,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giustino Durano, Horst Buchholz, Gil Baroni, Pietro De Silva, Giorgio Cantarini"
"Silence of the Lambs, The (1991)",4.151341616415071,4.15014,74127,4.146721068611678,1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Anthony Heald, Ted Levine"
Double Indemnity (1944),4.194022945965951,4.19099,5404,4.14427936668668,1944,Billy Wilder,"Fred MacMurray, Edward G. Robinson, Barbara Stanwyck, Porter Hall"
Memento (2000),4.1499575191163975,4.1489,41195,4.142787447316281,2000,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
My Neighbor Totoro (Tonari no Totoro) (1988),4.1524625267665956,4.16348,9340,4.136785995015696,1988,Hayao Miyazaki,"Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto, Tanie Kitabayashi"
Princess Mononoke (Mononoke-hime) (1997),4.138093788063338,4.15402,13136,4.135093292648199,1997,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup, Claire Danes, Minnie Driver"
Paths of Glory (1957),4.199341795956746,4.19336,4254,4.134931627117203,1957,Stanley Kubrick,"Kirk Douglas, George Macready, Ralph Meeker, Adolphe Menjou"
Monty Python and the Holy Grail (1975),4.147655276621689,4.14117,37723,4.134584873099171,1975,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam, Terry Jones, Michael Palin, Connie Booth"
Chinatown (1974),4.158633114773465,4.146,16929,4.131404105136545,1974,Roman Polanski,"Jack Nicholson, John Huston, Perry Lopez, Faye Dunaway"
American History X (1998),4.1400006419103255,4.13741,31157,4.129504632903078,1998,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Avery Brooks, Ethan Suplee, Stacy Keach, Fairuza Balk, Elliott Gould"
To Kill a Mockingbird (1962),4.146440635556112,4.14351,15986,4.1281376984989695,1962,Robert Mulligan,"John Megna, Frank Overton, Gregory Peck, Rosemary Murphy, Robert Duvall"
Whiplash (2014),4.137847750245997,4.1464,11179,4.124550417957656,2014,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell"
All About Eve (1950),4.169692186266772,4.16984,5068,4.121863647461347,1950,Joseph L. Mankiewicz,"George Sanders, Anne Baxter, Bette Davis, Celeste Holm, Gary Merrill, Hugh Marlowe"
"Sting, The (1973)",4.142360446570973,4.13695,15675,4.121449353308664,1973,George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning, Ray Walston"
"Departed, The (2006)",4.12123663338989,4.13101,25343,4.121423062677452,2006,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Alec Baldwin, Vera Farmiga, Ray Winstone, Anthony Anderson"
Spider-Man: Into the Spider-Verse (2018),4.111345218800649,4.19969,3085,4.12099201068394,2018,Bob Persichetti,"Shameik Moore,Jake Johnson,Liev Schreiber,Hailee Steinfeld,Nicolas Cage"
Star Wars: Episode V - The Empire Strikes Back (1980),4.144122313069856,4.12466,57361,4.120431495549687,1980,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Alec Guinness, Frank Oz, James Earl Jones, Anthony Daniels, Peter Mayhew, Denis Lawson, David Prowse, Jeremy Bulloch"
Interstellar (2014),4.097927896085535,4.12967,22634,4.118980309587951,2014,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Wes Bentley, Topher Grace, Michael Caine, Casey Affleck, John Lithgow, Ellen Burstyn, David Oyelowo, William Devane, Bill Irwin, Matt Damon"
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.129335976214073,4.1313,18162,4.118000538080486,1966,Sergio Leone,"Clint Eastwood, Lee Van Cleef, Eli Wallach, Rada Rassimov, John Bartha, Livio Lorenzon, Antonio Casale"
Yojimbo (1961),4.1791791791791795,4.17788,3996,4.117486593057394,1961,Akira Kurosawa,"Kamatari Fujiwara, Toshirô Mifune, Takashi Shimura, Eijirô Tono"
Intouchables (2011),4.124754805806199,4.13423,12745,4.11536353411225,2011,"Olivier Nakache, Eric Toledano","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
"Princess Bride, The (1987)",4.129097007632781,4.11599,37863,4.109701302750557,1987,Rob Reiner,"Cary Elwes, Christopher Guest, Mandy Patinkin, Chris Sarandon, Wallace Shawn, André the Giant, Fred Savage, Robin Wright Penn, Peter Falk, Carol Kane, Billy Crystal"
Fargo (1996),4.111421282646425,4.11384,47823,4.108868248758901,1996,"Joel Coen, Ethan Coen","William H. Macy, Frances McDormand, Steve Buscemi, Peter Stormare, Harve Presnell, Patrice Chéreau, Julien Temple"
Blade Runner (1982),4.115838373930576,4.11401,36702,4.107546675702746,1982,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, Daryl Hannah"
"Big Sleep, The (1946)",4.159965034965035,4.14892,5720,4.107455134558707,1946,Howard Hawks,"Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,Dorothy Malone,Peggy Knudsen,Regis Toomey,Charles Waldron,Charles D. Brown,Robert Steele,Elisha Cook Jr.,Louis Gene Heydt,Sonia Darrin,Tom Raferty,Theodore von Eltz,Joy Barlowe"
Notorious (1946),4.161201106282102,4.15287,5062,4.106124056863241,1946,Alfred Hitchcock,"Louis Calhern, Cary Grant, Claude Rains, Ingrid Bergman"
Apocalypse Now (1979),4.114713689799014,4.11415,26370,4.105191267002057,1979,Francis Ford Coppola,"Marlon Brando, Robert Duvall, Frederic Forrest, Martin Sheen, Sam Bottoms, Laurence Fishburne, Dennis Hopper, Harrison Ford"
American Beauty (1999),4.107340423550448,4.10904,53689,4.104644030005417,1999,Sam Mendes,"Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari,Chris Cooper,Peter Gallagher,Allison Janney,Scott Bakula,Sam Robards,John Cho,Amber Smith,Joel McCrary"
"Maltese Falcon, The (1941)",4.154075222321938,4.12381,12257,4.104557380268574,1941,John Huston,"Humphrey Bogart, Peter Lorre, Mary Astor, Elisha Cook Jr., Gladys George, Sydney Greenstreet"
Vertigo (1958),4.120821574161179,4.11896,15945,4.104170462459998,1958,Alfred Hitchcock,"James Stewart, Barbara Bel Geddes, Kim Novak, Tom Helmore, Henry Jones, Ellen Corby"
M (1931),4.1606988783434,4.15404,4636,4.103254818887744,1931,Fritz Lang,"Peter Lorre, Otto Wernicke, Inge Landgut, Ellen Widmann"
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.123923182441701,4.10668,54675,4.102380446103271,1981,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Denholm Elliott"
"Prestige, The (2006)",4.093231050865188,4.11217,22943,4.101931913575506,2006,Christopher Nolan,"Hugh Jackman, Christian Bale, Scarlett Johansson, Michael Caine, David Bowie, Andy Serkis"
Ran (1985),4.142049808429118,4.14536,5220,4.100476853990612,1985,Akira Kurosawa,"Tatsuya Nakadai, Jinpachi Nezu, Daisuke Ryu, Akira Terao"
Cinema Paradiso (Nuovo cinema Paradiso) (1989),4.1310807952622675,4.12419,9456,4.099457754344792,1989,Giuseppe Tornatore,"Marco Leonardi, Philippe Noiret, Jacques Perrin, Salvatore Cascio, Enzo Cannavale"
"Lord of the Rings: The Return of the King, The (2003)",4.0903399807075225,4.10393,50797,4.099327089988149,2003,Peter Jackson,"Sean Astin, Ian McKellen, Viggo Mortensen, Elijah Wood, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Bernard Hill, Ian Holm, Dominic Monaghan, Miranda Otto, John Rhys-Davies, Andy Serkis, Liv Tyler, Karl Urban, Hugo Weaving, David Wenham"
Wallace & Gromit: The Wrong Trousers (1993),4.124787164374591,4.1142,15270,4.098899604398311,1993,Nick Park,Peter Sallis
Star Wars: Episode IV - A New Hope (1977),4.120188599618726,4.10145,68717,4.098055098948128,1977,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, James Earl Jones, Anthony Daniels, Kenny Baker, Peter Mayhew, Denis Lawson, David Prowse"
Lawrence of Arabia (1962),4.136035830866166,4.11576,13173,4.098050627466189,1962,David Lean,"Alec Guinness, Jack Hawkins, Peter O'Toole, Anthony Quinn, Omar Sharif, José Ferrer, Anthony Quayle, Claude Rains, Arthur Kennedy"
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.091188818716808,4.09616,55736,4.0920192547708485,2001,Peter Jackson,"Sean Astin, Cate Blanchett, Orlando Bloom, Ian Holm, Christopher Lee, Ian McKellen, Viggo Mortensen, Elijah Wood, Sean Bean, Billy Boyd, Dominic Monaghan, John Rhys-Davies, Andy Serkis, Liv Tyler, Hugo Weaving, Marton Csokas"
"Boot, Das (Boat, The) (1981)",4.1270905474103,4.10854,13573,4.0915507839696215,1981,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, Martin Semmelrogge"
Good Will Hunting (1997),4.074935168305646,4.09706,38947,4.091143599384749,1997,Gus Van Sant,"Ben Affleck, Matt Damon, Stellan Skarsgård, Robin Williams, Minnie Driver"
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.101282051282051,4.09783,34320,4.091116283623629,2001,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz"
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.0885985748218525,4.09789,33680,4.091049527640732,1994,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel"
Reservoir Dogs (1992),4.092293699832535,4.09384,34634,4.087233564123006,1992,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi, Lawrence Tierney, Edward Bunker, Quentin Tarantino, Randy Brooks, Kirk Baltz, Steven Wright"
Touch of Evil (1958),4.141198424217293,4.13418,4823,4.086778219473573,1958,Orson Welles,"Joseph Calleia, Charlton Heston, Orson Welles, Janet Leigh, Akim Tamiroff, Dennis Weaver, Marlene Dietrich, Zsa Zsa Gabor, Joseph Cotten"
Howl's Moving Castle (Hauru no ugoku shiro) (2004),4.093274353120243,4.10625,10512,4.0845878999984535,2004,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin, Ryûnosuke Kamiki, Lauren Bacall, Jean Simmons, Christian Bale, Blythe Danner, Emily Mortimer, Josh Hutcherson, Billy Crystal, Jena Malone, Carlos Alazraqui"
Wallace & Gromit: A Close Shave (1995),4.104362388693734,4.09917,12241,4.080699120140902,1995,Nick Park,"Peter Sallis, Anne Reid"
Seven (a.k.a. Se7en) (1995),4.0791663372598626,4.08292,50596,4.078469470993591,1995,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, Kevin Spacey"
"Treasure of the Sierra Madre, The (1948)",4.123320895522388,4.11933,5360,4.077401488635799,1948,John Huston,"Humphrey Bogart, Tim Holt, Walter Huston, Bruce Bennett"
On the Waterfront (1954),4.127636054421768,4.11521,5880,4.077016554716096,1954,Elia Kazan,"Marlon Brando, Eva Marie Saint, Lee J. Cobb, Karl Malden, Rod Steiger"
Old Boy (2003),4.080128472511888,4.09526,11987,4.0765413285527865,2003,Chan-wook Park,"Min-Sik Choi, Ji-Tae Ju, Hye-Jeong Kang, Byeong-Ok Kim"
"Thin Man, The (1934)",4.153254972875226,4.14379,3318,4.076206488580683,1934,W.S. Van Dyke,"Nat Pendleton, William Powell, Myrna Loy, Maureen O'Sullivan"
It Happened One Night (1934),4.130419661488523,4.12753,4313,4.075596421701524,1934,Frank Capra,"Walter Connolly, Clark Gable, Roscoe Karns, Claudette Colbert"
"Great Escape, The (1963)",4.103683976919663,4.09543,11265,4.075548107319386,1963,John Sturges,"Richard Attenborough, Charles Bronson, James Donald, James Garner, Steve McQueen, Donald Pleasance, James Coburn"
Once Upon a Time in the West (C'era una volta il West) (1968),4.107454967005529,4.11532,5607,4.075387250520363,1968,Sergio Leone,"Henry Fonda, Claudia Cardinale, Jason Robards, Charles Bronson"
Taxi Driver (1976),4.083479216009336,4.08181,29133,4.074142150654318,1976,Martin Scorsese,"Robert De Niro, Cybill Shepherd, Peter Boyle, Jodie Foster, Harvey Keitel, Albert Brooks"
"Lord of the Rings: The Two Towers, The (2002)",4.0680511556963515,4.07515,51138,4.070808661068108,2002,Peter Jackson,"Sean Astin, Ian McKellen, Viggo Mortensen, Elijah Wood, Christopher Lee, Cate Blanchett, Orlando Bloom, Billy Boyd, Brad Dourif, Bernard Hill, Dominic Monaghan, Miranda Otto, John Rhys-Davies, Andy Serkis, Karl Urban, David Wenham"
"Philadelphia Story, The (1940)",4.1377134943837515,4.10377,6499,4.0696815601595695,1940,George Cukor,"Cary Grant, James Stewart, Katharine Hepburn, Ruth Hussey"
Citizen Kane (1941),4.092687653868315,4.07993,19091,4.068354320706645,1941,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick"
Rashomon (Rashômon) (1950),4.126879898326625,4.11491,4721,4.068120254212873,1950,Akira Kurosawa,"Toshirô Mifune, Masayuki Mori, Takashi Shimura, Machiko Kyô"
Strangers on a Train (1951),4.1165475536008795,4.10722,5457,4.066838176696152,1951,Alfred Hitchcock,"Leo G. Carroll, Farley Granger, Robert Walker, Ruth Roman"
When We Were Kings (1996),4.132270693512305,4.12683,3576,4.065376309619825,1996,Leon Gast,"Muhammad Ali, James Brown, George Foreman, Don King"
Eternal Sunshine of the Spotless Mind (2004),4.066350639578631,4.07157,33225,4.064960927654898,2004,Michel Gondry,"Jim Carrey, Kate Winslet, Elijah Wood, Mark Ruffalo, Jane Adams, David Cross, Kirsten Dunst, Tom Wilkinson, Debbon Ayer, Paulie Litt, Josh Flitter"
Forrest Gump (1994),4.048011436845787,4.06633,81491,4.0636420905363915,1994,Robert Zemeckis,"Tom Hanks, Gary Sinise, Mykelti Williamson, Robin Wright Penn, Sally Field"
"Bridge on the River Kwai, The (1957)",4.095140098147855,4.08062,12634,4.063294027849716,1957,David Lean,"Alec Guinness, Jack Hawkins, Sessue Hayakawa, William Holden"
Snatch (2000),4.063324170351779,4.06869,25101,4.060023322962301,2000,Guy Ritchie,"Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt, Rade Serbedzija, Jason Statham, Alan Ford, Mike Reid, Robbie Gee, Lennie James, Ewen Bremner, Jason Flemyng, Stephen Graham"
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),4.087735849056604,4.1003,5300,4.059310009692528,1984,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya, Ichirô Nagai"
Cool Hand Luke (1967),4.089829185814619,4.07713,11533,4.058328256916641,1967,Stuart Rosenberg,"Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio"
Alien (1979),4.055518882196001,4.06368,36357,4.057722693301327,1979,Ridley Scott,"Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm, Yaphet Kotto"
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),4.115057915057915,4.11282,3885,4.057132611161458,1948,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Gino Saltamerenda, Vittorio Antonucci"
Grave of the Fireflies (Hotaru no haka) (1988),4.100206825232679,4.1016,4835,4.056876242214347,1988,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi"
Amadeus (1984),4.069599241166706,4.06689,21085,4.056639055090149,1984,Milos Forman,"F. Murray Abraham, Simon Callow, Tom Hulce, Elizabeth Berridge"
"Manchurian Candidate, The (1962)",4.098406959665574,4.08002,8851,4.05564645605862,1962,John Frankenheimer,"Laurence Harvey, Frank Sinatra, Angela Lansbury, Janet Leigh"
Psycho (1960),4.067213040729703,4.0626,22146,4.052909884547123,1960,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam, John McIntire"
Saving Private Ryan (1998),4.044107902443195,4.05498,46783,4.050414999584361,1998,Steven Spielberg,"Tom Hanks, Tom Sizemore, Edward Burns, Vin Diesel, Matt Damon"
L.A. Confidential (1997),4.063227503693827,4.0575,27749,4.049812693796226,1997,Curtis Hanson,"James Cromwell, Russell Crowe, Guy Pearce, Kevin Spacey, Kim Basinger, Danny DeVito, Ron Rifkin"
Modern Times (1936),4.0911330049261085,4.09211,4872,4.048442549259006,1936,Charles Chaplin,"Henry Bergman, Charles Chaplin, Tiny Sandford, Paulette Goddard"
Raise the Red Lantern (Da hong deng long gao gao gua) (1991),4.12071675573719,4.11489,3181,4.048059105808931,1991,Yimou Zhang,"Li Gong, Caifei He, Jingwu Ma, Cuifeng Cao, Lin Kong"
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",4.093324116136678,4.08541,5063,4.043771814019191,1957,Ingmar Bergman,"Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow, Bibi Andersson, Inga Landgré"
"Pianist, The (2002)",4.047393087287639,4.05587,17070,4.043525983492513,2002,Roman Polanski,"Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard, Julia Rayner, Thomas Kretschmann"
Spotlight (2015),4.076437847866419,4.08146,5390,4.0424494823196255,2015,Thomas McCarthy,"Mark Ruffalo,Rachel McAdams,Michael Keaton,Stanley Tucci,Liev Schreiber"
Henry V (1989),4.110404624277456,4.08947,4325,4.040992856168623,1989,Kenneth Branagh,"Kenneth Branagh, Derek Jacobi, Brian Blessed, Ian Holm, Emma Thompson, Paul Scofield, Robbie Coltrane, Judi Dench"
"400 Blows, The (Les quatre cents coups) (1959)",4.105150868637611,4.10475,3281,4.040863909440624,1959,François Truffaut,"Jean-Pierre Léaud, Claire Maurier, Albert Rémy, Guy Decomble, Patrick Auffay"
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),4.067639500734215,4.07931,5448,4.040837303886576,1986,Hayao Miyazaki,"Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada, James Van Der Beek, Anna Paquin, Cloris Leachman, Mark Hamill, Mandy Patinkin, Andy Dick, Scott Menville"
City Lights (1931),4.110567823343849,4.10615,3170,4.040123575720733,1931,Charles Chaplin,"Charles Chaplin, Al Ernest Garcia, Harry Myers, Virginia Cherrill, Florence Lee"
Full Metal Jacket (1987),4.0433978262545285,4.04593,25946,4.037898603011499,1987,Stanley Kubrick,"Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey, Matthew Modine"
Jean de Florette (1986),4.107733927434755,4.10297,3142,4.03679390758805,1986,Claude Berri,"Daniel Auteuil, Gérard Depardieu, Yves Montand, Elisabeth Depardieu"
Paperman (2012),4.115267755412077,4.11542,2633,4.036497622377127,2012,John Kahrs,"John Kahrs, Jeff Turley, Kari Wahlgren"
His Girl Friday (1940),4.0991556091676715,4.08543,4145,4.035405734894298,1940,Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart"
Duck Soup (1933),4.083693304535637,4.07189,5556,4.034627845122798,1933,Leo McCarey,"Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, Margaret Dumont, Raquel Torres, Louis Calhern"
"Green Mile, The (1999)",4.027754084377666,4.04067,30482,4.033888216448185,1999,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, James Cromwell, Michael Jeter, Graham Greene, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Patricia Clarkson, Harry Dean Stanton, William Sadler, Brian Libby, Brent Briscoe, Gary Sinise"
No Country for Old Men (2007),4.026144852224748,4.04205,18474,4.030926466295166,2007,"Ethan Coen, Joel Coen","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, Kelly Macdonald"
Arrival (2016),4.02751065728165,4.05013,10087,4.029803704921732,2016,Denis Villeneuve,"Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,Tzi Ma"
"African Queen, The (1951)",4.065862437980348,4.04924,10279,4.029313135264482,1951,John Huston,"Peter Bull, Theodore Bikel, Humphrey Bogart, Katharine Hepburn, Robert Morley, Walter Gotell"
Three Colors: Red (Trois couleurs: Rouge) (1994),4.072966846132049,4.05784,7058,4.028846642851057,1994,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder"
